SKU code,Barcode,Product Name,Price,Customer Discounted Price
EX-e14a233d,,Desperados - Beer Can (33cl),1250.0,1125.0
RM-905018f4,,Devon King’s - Oil (1L),6000.0,5400.0
EX-978f032b,,Devon King’s - Oil (2L),12000.0,10800.0
EX-1c23cbe8,,Devon King’s - Oil (5L),25000.0,22500.0
RM-57d29bd2,,Didian - Coconut Biscuit Cookies (300g) Cookie Biscuits,4000.0,3600.0
RM-62a1c946,,Didian - Soda Cracker Biscuits (248g) Biscuit Crackers,3000.0,2700.0
RM-bcd155b6,,Dockers - Onion Crackers Biscuit (200g) Biscuit Crackers,2750.0,2475.0
RM-349c598a,,Dockers Onion Crackers (100g),1740.0,1566.0
EX-0b9ff9cb,,Don Julio - Blanco (70cl) ,150000.0,135000.0
EX-cf069fa6,,Don Julio - Reposado (70cl) ,180000.0,162000.0
EX-4eb95404,,Dove - Advanced Care Go Fresh Pearl and Aloe 72h Antiperspirant (250ml),6000.0,5400.0
EX-5f171451,,Dove - Advanced Care Original Anti-Perspirant Deodorant Spray  (250 ml),6000.0,5400.0
SKU-133994-RBGBB6WV42,,Dove - Advanced Care Sensitive Roll on Antiperspirant (50ml) ,3750.0,3375.0
EX-d62b63bb,,Dove - Anti-Perspirant Deodorant Spray Invisible Dry (250 ml),7200.0,6480.0
SKU-133994-P9N3FYBC3R,,Dove - Beauty Cream Bar Soap (90g),2100.0,1890.0
EX-f57df0ad,,Dove - Cocoa Butter (400ml) ,3500.0,3150.0
SKU-133994-BSS5L2U3KQ,,Dove - Gentle Exfoliating Bar Soap (90g),2100.0,1890.0
EX-ec289d8d,,Dove - Men Care Sport Active+Fresh (250ml),6000.0,5400.0
EX-d93b5add,,Dove - Men+ Care Clean Comfort  48hr Antiperspirant Spray (250ml),6000.0,5400.0
SKU-133994-7ZXQDX3CMR,,Dove - Original Moisturizing Cream Roll on Antiperspirant 48h (50ml),3750.0,3375.0
SKU-133994-EB9TXQVBX5,,Dove - Pampering  Bar Soap (90g),2100.0,1890.0
SKU-133994-DG4Q5G1VSF,,Dove - Pink Soft & Smooth Bar Soap (90g),2100.0,1890.0
SKU-133994-CW4413XKSV,,Dove - Refreshing Bar Soap (90g) ,2100.0,1890.0
SKU-133994-73ZZW6UYQG,,Dove - Relaxing Bar Soap (90g),2100.0,1890.0
CSV-99f64f29,,Dubic Malt - Non Alcoholic Malt Drink (330ml) ,900.0,810.0
SKU-133994-SV9HYD6KRH,,Dudu Osun - Black Soap (150g),1500.0,1350.0
SKU-133994-CL7R3EFXTB,,Dunhill - Blue Cigarettes Tobacco,2200.0,1980.0
SKU-133994-6CZW83SWBF,,Easy On - Double Starch (567g),3750.0,3375.0
SKU-133994-XLBB2TU6Z2,,Easy On - Spray Starch (567g),3750.0,3375.0
SKU-133994-5K3PYAUL4H,,Egg - Brown Chicken,400.0,360.0
SKU-133994-W6577DXX8B,,Egg - Brown Chicken (6pcs),2000.0,1800.0
SKU-133994-YSKRV75TKK,,Egg - Crate of Brown Chicken (30pcs),8000.0,7200.0
SKU-133994-1NGBX1QTBE,,Egg - Half Crate of Brown Chicken (15pcs),4500.0,4050.0
EX-90d3ed0a,,Element - Eau De Parfum (50ml) Perfume,4500.0,4050.0
RM-eb3bfd93,,Elkes - Ginger Snaps Biscuit Cookies (300g) Cookie Biscuits,4000.0,3600.0
SKU-133994-Q5966RSWHZ,,English Oven - 100% Whole Wheat Extra Soft Bread ,1900.0,1710.0
SKU-133994-RF9C8P5589,,English Oven - Extra Soft Bread (Medium),700.0,630.0
SKU-133994-TSLB9FC3PV,,English Oven - Extra Soft Bread (Small),500.0,450.0
SKU-133994-88RY4LLJLE,,English Oven - King Size Extra White Soft Bread (1.3kg),2500.0,2250.0
SKU-133994-ZG7C5JQ2K7,,Esse - Change Super Slim Cigarettes Tobacco,2500.0,2250.0
SKU-133994-DYBC11JWPD,,Esse - Compact Black Cigarettes Tobacco,1600.0,1440.0
SKU-133994-WHEDU5P7RB,,EssJays - Plantain Chips Half Ripe (500g) ,6200.0,5580.0
SKU-133994-VDCZGLDN6P,,Euromax - Dry Iron Perfect Care ,15000.0,13500.0
SKU-133994-K8Z2CZ88B6,,Eurosonic - Automatic Cordless Kettle (2.2L),19000.0,17100.0
SKU-133994-PC83UAS6BT,,Exeter - Corned Beef (200g),3500.0,3150.0
SKU-133994-6AJPNEC928,,Exeter - Corned Beef (340g) ,6000.0,5400.0
SKU-133994-JSGFL5WKFV,,F1 - Car Dashboard Wax Spray (450ml),4000.0,3600.0
CSV-c933edb8,,Fab! - Chocolate Biscuit Cookies Snack (100g) Cookie Biscuits ,800.0,720.0
SKU-133994-U6N878D673,,Fab! - Vanilla Biscuit Cookies Snack (100g) Cookie Biscuits ,800.0,720.0
SKU-133994-NZ7XRYFYFA,,Falcon - Cling Film Paper Disposable (300mm width),8000.0,7200.0
RM-dc4a1ed8,,Famili - Palm Oil (1L),5500.0,4950.0
CSV-40d40121,,Fanta - Orange Soda Drink (50cl),600.0,540.0
CSV-1603173f,,Fanta Can 33cl,800.0,720.0
SKU-133994-LS7UKEWCCA,,Fayrouz - Pineapple Flavor Premium Sparking Soft Drink Can (33cl) ,850.0,765.0
SKU-133994-KF98THTBM4,,Fearless - Energy Drink (500ml),800.0,720.0
SKU-133994-LNJA63SM2Z,,Fearless - Red Berry Energy Drink (500ml),800.0,720.0
CSV-ed69b805,,Fearless Energy Drink (500ml),650.0,585.0
SKU-133994-M6CU7AA9DK,,Flow - Cold Water Liquid Starch (1L),2250.0,2025.0
EX-36ec11a3,,Four Cousins - Natural Sweet Red (75cl),12500.0,11250.0
EX-3d3aea0c,,Four Cousins - Natural Sweet Rose (75cl),12500.0,11250.0
EX-b87eac09,,Four Cousins - Natural Sweet White Wine (75cl),12500.0,11250.0
RM-9dca3e3c,,Fox’s - Milk Chocolate Biscuit Cookies (180g) Milky Cookie Biscuits,4500.0,4050.0
SKU-133994-XJP5TH15T5,,Fragile - Packing Tape ,1900.0,1710.0
RM-d4226d47,,Fray - Milk Soda Salt Cracker Biscuits (100g) Biscuit Crackers ,300.0,270.0
CSV-e77ca3a7,,Fresh Yo - Strawberry (1L),2400.0,2160.0
CSV-0122c043,,Fresh Yo - Sweetened (1L),2400.0,2160.0
CSV-8f609a98,,Gala - Big Beef Meat & Bread (100g),600.0,540.0
CSV-788221e0,,Gala - Small Beef Meat & Bread (50g),300.0,270.0
CSV-553d5c6f,,Gala Small,300.0,270.0
,,Garri - white derica (600g),1500.0,1350.0
,,Garri - white half derica (300g),750.0,675.0
,,Garri - white half painter bucket (1.2kg),3000.0,2700.0
,,Garri - white painter bucket (2.4kg),6000.0,5400.0
,,Garri - yellow derica (600g),1500.0,1350.0
,,Garri - yellow half derica (300g),750.0,675.0
,,Garri - yellow half painter bucket (1.2kg),3000.0,2700.0
,,Garri - yellow painter bucket (2.4kg),6000.0,5400.0
SKU-133994-8BCWX1NU3V,,Geisha - Sardine (125g) ,1850.0,1665.0
SKU-133994-6WWR4MA1G2,,Generic Face & Hand Towel,1000.0,900.0
SKU-133994-GHAZC7GRLQ,,Geurts - Strawberry Jam (450g),3500.0,3150.0
SKU-133994-ECQ4UNFK2G,,Gold Kili - Instant Honey Ginger Drink Sachet (20g) ,600.0,540.0
SKU-133994-B8ZR8RQ9B7,,Goldberg - Black Premium Beer (44cl),1000.0,900.0
RM-209e5aff,,Golden Morn - Maize & Soya Protein (900g),6000.0,5400.0
,,Golden penny - butter spread (250g),1200.0,1080.0
,,Golden penny - butter spread (500g),2000.0,1800.0
SKU-133994-FDD78SHNV4,,Golden Penny - Macaroni Pasta (500g),1600.0,1440.0
SKU-133994-4GQJ4VSQN8,,Golden Penny - Pasta Spaghetti (500g) ,1600.0,1440.0
SKU-133994-R2CKZ7Q4L7,,Golden Penny - Premium White Granulated Sugar 1kg,3500.0,3150.0
,,Golden penny - white 90 cubes sugar,1600.0,1440.0
RM-fdfe873c,,Golden Terra - Soya Oil (1.4L),9000.0,8100.0
EX-29653545,,Golden Terra - Soya Oil (700ml),6000.0,5400.0
SKU-133994-QW5HP4V4UW,,Goochi - Classic Fresh Loaf Bread ,1900.0,1710.0
SKU-133994-6Z2TETG6R5,,Goochi - Classic Fresh Loaf Bread ,500.0,450.0
SKU-133994-JP6Y3BXE5Z,,Goochi - Classic Fresh Loaf Bread (Jumbo Size) ,2500.0,2250.0
SKU-133994-73CQ4ZR78H,,Good Mama - Lemon Fresh (800g),3200.0,2880.0
EX-27562437,,Gordon’s - Gin (20cl),3000.0,2700.0
EX-ac5bc81a,,Gordon’s - Gin (75cl),8500.0,7650.0
EX-50c669b1,,Gordon’s - Orange Gin (70cl) ,11000.0,9900.0
EX-bd3dc015,,Gordon’s - Pink Berry (70cl),10000.0,9000.0
EX-ad5d21a9,,Grey Goose - Vodka (1L),58000.0,52200.0
SKU-133994-KCJGWDSNH7,,Guinness - Foreign Extra Stout Can (330ml) ,1500.0,1350.0
EX-82e45a93,,Guinness Can - Original (44cl),1450.0,1305.0
SKU-133994-8EXCJFY6CZ,,Healthy Hour - Fat Burner Slimming Tea for Men/Women (30 bags),6500.0,5850.0
EX-8ba02d71,,Heineken  - Beer Can (60cl),1100.0,990.0
SKU-133994-ME8L838DCZ,,Heinz - Tomato Ketchup Bottle (1.25kg) ,9500.0,8550.0
EX-e065bfd0,,Hennessy - VS (70cl),70000.0,63000.0
EX-605c571c,,Hennessy - VSOP (70cl) ,135000.0,121500.0
EX-967f58e8,,Hennessy - XO (70cl),480000.0,432000.0
EX-284513c3,,Highland Chief - Blend (75cl),11000.0,9900.0
RM-cdc370d7,,Hollandia - Full Cream Evaporated Milk (190g),1130.0,1017.0
SKU-133994-56DK6741P7,,Hollandia - Full Cream Evaporated Milk (50g),400.0,360.0
CSV-3468baf1,,Hollandia Yoghurt -  Sweetened (1L),2500.0,2250.0
CSV-b1ade7f7,,Hollandia Yoghurt - Strawberry (1L),2500.0,2250.0
SKU-133994-B5JV99RCZM,,Hollandia Yoghurt - Vanilla (1L),2500.0,2250.0
RM-99e2c8e5,,Honeyville - Quick Oats (1.5kg),10000.0,9000.0
RM-e92e97a0,,Honeyville Quick Oats,15000.0,13500.0
,,Honeywell whole wheat meal - 1kg,2000.0,1800.0
RM-c13ee559,,Hungry Jack - Complete Buttermilk (907g),8000.0,7200.0
,,If green foods - white garri (2kg),5200.0,4680.0
EX-bef58eea,,Imperio - My Way Eau De Parfum (25ml) Perfume,8000.0,7200.0
ADD-101,,Imperio Way - Forever (25ml),8000.0,7200.0
CSV-361779e9,,Indomie - Chicken Noodles (70g),380.0,342.0
CSV-a7ed5e1d,,Indomie - Chicken Super Pack (120g),500.0,450.0
CSV-5edc9397,,Indomie - Instant Noodles Belleful (305g),1250.0,1125.0
CSV-ea2569fb,,Indomie - instant Noodles Chicken Flavor Hungry Man (180g),820.0,738.0
